hh_ids,trx_yr_mo,con_pur_hh_byti,con_pur_hh_byti_ALC,con_pur_hh_byti_CLN,con_pur_hh_byti_CLTH,con_pur_hh_byti_COMM,con_pur_hh_byti_EDU,con_pur_hh_byti_ENRGY,con_pur_hh_byti_ENT,con_pur_hh_byti_FOOD,con_pur_hh_byti_H20,con_pur_hh_byti_HSNG,con_pur_hh_byti_MED,con_pur_hh_byti_OTH,con_pur_hh_byti_PERS,con_pur_hh_byti_REL,con_pur_hh_byti_TRNSP
"KELDK01","2012_10",17.29412,0,0,8.235294,.4705882,.2352941,3.529412,0,4.823529,0,0,0,0,0,0,0
"KELDK01","2012_11",40.52941,0,0,0,.9411765,0,10.82353,0,10.17647,4.235294,7.058824,7.058824,0,0,.2352941,0
"KELDK01","2012_12",42.4353,0,1.058824,7.058824,.5882353,0,4.588235,0,16.2,0,0,0,0,0,0,12.94118
"KELDK01","2013_01",48.23529,0,0,0,3.529412,7.058824,3.764706,0,15.88235,0,7.058824,0,0,.7058824,1.411765,8.823529
"KELDK01","2013_02",107.5294,0,0,0,8.235294,0,14.58824,0,73.41177,0,7.058824,0,0,1.411765,2.823529,0
"KELDK01","2013_03",114.4706,0,0,0,8.82353,.2352941,16.47059,0,76.23529,0,7.058824,0,0,2.117647,3.529412,0
"KELDK01","2013_04",118.2941,0,2.705882,17.64706,1.882353,5.294117,10.23529,0,58.05882,1.176471,7.058824,1.176471,2.117647,2.705882,0,8.235294
"KELDK01","2013_05",105,0,1.411765,1.882353,1.764706,1.058824,8.882353,0,61.76471,1.764706,7.058824,2.470588,4.82353,8.588236,3.529412,0
"KELDK01","2013_06",109.5412,0,4.352942,2.941176,3.764706,2.352941,11.64706,0,61.48235,2.823529,7.058824,0,9.411765,3.705883,0,0
"KELDK01","2013_07",113.4706,0,2.352941,25.88235,2.235294,0,14.11765,0,57,2.235294,8.235294,0,0,1.411765,0,0
"KELDK01","2013_08",86.50588,0,2.588235,2.941176,4.941176,0,6.564706,0,53.23529,.3529412,8.235294,4.705883,0,2.941177,0,0
"KELDK01","2013_09",102.1765,0,1.176471,3.529412,1.529412,14.58824,12.70588,0,55.41177,.3529412,8.235294,0,2.352941,2.294118,0,0
"KELDK02","2012_10",218.7059,0,2.941176,17.64706,8.823529,0,107.0588,0,80.47059,0,0,0,0,0,0,1.764706
"KELDK02","2012_11",189.2941,0,0,44.70588,11.76471,12.23529,14.58823,0,52.58824,0,17.64706,1.176471,0,3.411765,12.35294,18.82353
"KELDK02","2012_12",140.5882,0,0,26.58824,0,0,12.94118,0,101.0588,0,0,0,0,0,0,0
"KELDK02","2013_01",368.2353,0,4,0,0,322.5882,28.23529,0,0,0,0,0,0,0,0,13.41176
"KELDK02","2013_02",68.41177,0,0,23.52941,0,0,14.76471,0,12.47059,0,17.64706,0,0,0,0,0
"KELDK02","2013_03",75.7647,0,0,0,0,0,10.58823,0,65.17647,0,0,0,0,0,0,0
"KELDK02","2013_04",70.11765,0,1.941176,0,7.058824,0,3.058824,0,24.76471,0,0,13.52941,0,0,0,19.76471
"KELDK02","2013_05",236.3529,0,4.117647,10.58823,3.411765,127.0588,10.58824,0,57.64706,0,0,0,0,.8235294,8.235294,13.88235
"KELDK02","2013_06",86.29412,0,1.764706,4.705883,1.882353,0,0,0,62.88235,0,0,0,0,.9411765,12.94118,1.176471
"KELDK02","2013_07",134.7059,0,3.882353,0,2.352941,23.52941,9.411765,0,74.47059,0,0,4,0,0,12.35294,4.705883
"KELDK02","2013_08",116.2353,0,3.647059,0,5.294118,0,20,0,50.82353,0,0,0,0,0,16.47059,20
"KELDK02","2013_09",112.7059,0,3.176471,0,2.352941,47.05882,10.58823,0,27.41177,0,0,5.294117,0,0,4.705883,12.11765
"KELDK08","2012_10",26.52941,0,1.764706,0,.8235294,15,1.117647,0,6.529412,0,0,0,0,0,1.294118,0
"KELDK08","2012_11",23,0,0,0,.2352941,.8823529,.1176471,0,21.76471,0,0,0,0,0,0,0
"KELDK08","2012_12",54,0,1.647059,7.058824,.2352941,0,.1176471,0,35.76471,0,0,0,0,2.705883,0,6.470588
"KELDK08","2013_01",47,0,.8235294,0,.3529412,.5294118,3.058824,0,40.23529,0,0,.2352941,0,.1176471,0,1.647059
"KELDK08","2013_02",33.17647,0,0,0,.1176471,11.76471,.1176471,0,21.17647,0,0,0,0,0,0,0
"KELDK08","2013_03",48.17647,0,2.117647,0,.9411765,15.29412,.4705882,0,29.35294,0,0,0,0,0,0,0
"KELDK08","2013_04",30.23529,0,2,0,.5882353,0,1.176471,0,23.52941,0,0,2.941176,0,0,0,0
"KELDK08","2013_05",45.11765,0,2.117647,5.882353,.9411765,2.882353,.3529412,0,32.94118,0,0,0,0,0,0,0
"KELDK08","2013_06",50.23529,0,1.294118,0,.5882353,5.882353,.9411765,0,39.17647,0,0,0,0,2.352941,0,0
"KELDK08","2013_07",32.41177,0,.7058824,0,.3529412,5.882353,.2352941,0,25.23529,0,0,0,0,0,0,0
"KELDK08","2013_08",46.52941,0,1.176471,0,.3529412,11.76471,.5882353,0,32.64706,0,0,0,0,0,0,0
"KELDK08","2013_09",34,0,.2352941,0,.3529412,9.411765,0,0,24,0,0,0,0,0,0,0
"KELDK08","2013_10",9.411765,0,0,0,0,0,0,0,9.411765,0,0,0,0,0,0,0
"KELDK09","2012_11",70.11765,0,.8235294,42.35294,2.352941,0,.5882353,0,12.23529,0,0,0,0,5.882353,1.176471,4.705883
"KELDK09","2012_12",208.5882,0,2.117647,111.7647,7.058824,0,13.52941,0,31.76471,0,35.29412,0,0,7.058824,0,0
"KELDK09","2013_01",213,0,3.705882,35.29412,12.94118,37.64706,2,0,40.82353,0,35.29412,0,0,8.235294,1.764706,35.29412
"KELDK09","2013_02",75.47059,0,4.470588,0,5.294118,0,13.52941,0,38.64706,0,0,0,0,9.411764,1.176471,2.941177
"KELDK09","2013_03",69.29412,0,1.705882,29.41176,5.882353,5.882353,.5882353,0,14.41177,0,0,0,0,5.882353,2,3.529412
"KELDK09","2013_04",89.58823,0,5,0,2.941176,0,15.52941,0,47.29412,0,0,0,0,14.35294,4.470588,0
"KELDK09","2013_05",50.64706,0,2.117647,0,3.058824,9.411764,15.41176,0,19.23529,0,0,0,0,.2352941,1.176471,0
"KELDK09","2013_06",56.05882,0,2.588235,5.882353,3.764706,.4117647,14.70588,0,16,0,0,0,0,10.11765,2.588235,0
"KELDK09","2013_07",42.35294,0,1.176471,0,2.588235,17.64706,0,0,20.94118,0,0,0,0,0,0,0
"KELDK09","2013_08",96.2353,0,3.529412,7.058824,3.411765,56.23529,0,0,18,0,0,0,0,6,.8235294,1.176471
"KELDK09","2013_09",129.6471,0,1.176471,0,1.176471,117.6471,0,0,7.294118,0,0,0,0,1.176471,0,1.176471
"KELDK10","2012_11",82.11765,17.64706,1.294118,8.235294,12.70588,0,1.058824,0,20,0,0,0,0,7.058824,0,14.11765
"KELDK10","2012_12",76.41177,16.47059,0,14.11765,5.235294,0,2.117647,0,10.47059,0,14.11765,0,0,13.88235,0,0
"KELDK10","2013_01",112.8235,11.17647,5.294118,0,7.882353,0,.7058824,0,29.88235,0,14.11765,5.882353,0,14.11765,4.705883,19.05882
"KELDK10","2013_02",91.41177,0,3.764706,0,16.47059,0,2.823529,0,43.05882,0,0,0,0,25.29412,0,0
"KELDK10","2013_03",141.5882,0,4.705883,11.76471,18.23529,0,3.176471,0,66.64706,0,0,0,0,25.29412,0,11.76471
"KELDK10","2013_04",96.47059,0,3.529412,25.88235,8.82353,0,7.647059,0,32.82353,0,0,0,0,10.82353,1.058824,5.882353
"KELDK10","2013_05",53.76471,0,2,0,4.117647,0,1.176471,0,23.76471,0,0,0,0,1.882353,5.882353,14.94118
"KELDK10","2013_06",58.76471,0,1.882353,0,4.117647,0,.7058824,0,18.47059,0,11.76471,0,0,8.647058,0,13.17647
"KELDK10","2013_07",64.88235,0,1.647059,0,4.705883,0,1.411765,0,33.94118,0,0,0,0,12.58824,0,10.58824
"KELDK10","2013_08",55.17647,0,6.470588,0,6.588235,0,3.764706,0,28.35294,0,0,0,0,1.176471,0,8.823529
"KELDK10","2013_09",32.11765,0,3.058824,0,5.882353,0,0,0,9.882353,0,0,0,0,8,0,5.294118
"KELDK10","2013_10",.4705882,0,0,0,0,0,0,0,.4705882,0,0,0,0,0,0,0
"KELDK12","2012_10",5.411765,0,1.411765,0,0,.1176471,0,0,2.470588,0,0,0,1.176471,.2352941,0,0
"KELDK12","2012_11",46.35294,0,0,5.882353,.2352941,23.64706,.7058824,0,15.88235,0,0,0,0,0,0,0
"KELDK12","2013_01",15.17647,0,1.529412,5.294117,.7058824,0,0,0,7.647059,0,0,0,0,0,0,0
"KELDK12","2013_02",65.05882,0,1.764706,0,0,58.82353,.1176471,0,3.882353,0,0,0,0,.4705882,0,0
"KELDK12","2013_03",10.23529,0,.7647059,0,0,0,.6470588,0,8.823529,0,0,0,0,0,0,0
"KELDK12","2013_04",35.23529,0,.7058824,0,.4705882,0,.4705882,0,20.64706,0,0,0,0,0,0,12.94118
"KELDK12","2013_05",30.64706,0,.5882353,7.647059,.5882353,0,.4705882,0,19.29412,0,0,0,0,.2941177,0,1.764706
"KELDK12","2013_06",45.23529,0,1.647059,0,.7058824,0,.5882353,0,38.76471,0,0,0,0,0,0,3.529412
"KELDK12","2013_07",35.64706,0,1.529412,0,.9411765,11.76471,0,0,17.88235,0,0,0,0,0,0,3.529412
"KELDK12","2013_08",31.52941,0,5.529412,4.705883,.1176471,0,.1176471,0,15.35294,0,0,0,.1764706,.8235295,0,4.705883
"KELDK12","2013_09",16.11765,0,1.470588,0,0,0,.5882353,0,12.58824,0,0,0,0,.2941177,0,1.176471
"KELDK13","2012_11",23.64706,0,.3529412,0,.3529412,0,1.647059,0,15.29412,0,0,4.705883,0,.1176471,0,1.176471
"KELDK13","2012_12",19.17647,0,1.294118,4.705883,0,0,0,0,13.17647,0,0,0,0,0,0,0
"KELDK13","2013_01",53.82353,0,0,8.235294,.3529412,14.11765,1.411765,0,22.17647,0,0,.3529412,0,.1176471,0,7.058824
"KELDK13","2013_02",47.76471,0,.9411765,0,0,2.352941,3.294118,0,37.88235,0,0,0,0,0,0,3.294118
"KELDK13","2013_03",49.11765,0,1.176471,0,3.058824,0,3.529412,0,41.35294,0,0,0,0,0,0,0
"KELDK13","2013_04",60.47059,0,.6470588,3.529412,1.058824,1.176471,.8235294,0,47.88235,0,0,.5882353,0,1.823529,0,2.941177
"KELDK13","2013_05",51.88235,0,1.235294,4.117647,2.352941,1.294118,2.117647,0,32.82353,0,0,0,0,.8823529,0,7.058824
"KELDK13","2013_06",54.23529,0,2.058824,0,2.588235,6.235294,2.470588,0,39.70588,0,0,0,0,0,0,1.176471
"KELDK13","2013_07",37.41177,0,1.058824,0,.7058824,0,1.176471,0,32.94118,0,0,0,0,0,0,1.529412
"KELDK13","2013_08",55.47059,0,1.235294,0,1.764706,0,2.117647,0,36.23529,0,11.76471,0,0,.5882353,1.764706,0
"KELDK13","2013_09",39.29412,0,1.529412,0,2.352941,2.352941,.8235294,0,30.70588,0,0,0,0,.5882353,0,.9411765
"KELDK13","2013_10",7.882353,0,.4705882,0,.4705882,2.117647,0,0,4.82353,0,0,0,0,0,0,0
"KELDK14","2012_11",26.70588,0,0,0,.1176471,0,.4705882,0,19.64706,0,0,0,0,0,6.470588,0
"KELDK14","2012_12",13.47059,5.294117,.3529412,0,0,0,0,0,5.235294,0,0,0,1.176471,.2352941,0,1.176471
"KELDK14","2013_01",18.70588,0,1.294118,3.294118,0,0,2.470588,0,11.41177,0,0,0,0,.2352941,0,0
"KELDK14","2013_02",48.41177,0,2.352941,23.52941,.4705882,0,6.588235,0,14.05882,0,0,0,0,.4705882,.9411765,0
"KELDK14","2013_03",37.64706,0,2.941177,0,.7058824,0,7.294117,0,25.05882,0,0,0,0,.4705882,1.176471,0
"KELDK14","2013_04",51.23529,0,3.294118,4.705883,1.411765,0,7.294117,0,22.64706,0,0,0,0,7.529412,2,2.352941
"KELDK14","2013_05",130.9412,0,1.058824,44.70588,3.941177,35.88235,2,0,32.41177,0,0,2.470588,0,7.294118,1.176471,0
"KELDK14","2013_06",87.17648,0,4,17.64706,3.529412,0,2,0,40.70588,0,0,8.235294,0,5.764706,1.176471,4.117647
"KELDK14","2013_07",65.41177,0,1.764706,0,1.176471,11.76471,4.117647,0,37.76471,0,0,0,0,7.647059,0,1.176471
"KELDK14","2013_08",74.47059,0,5.882353,0,1.647059,17.64706,4.117647,0,39.52941,0,0,0,0,3.294118,1.176471,1.176471
"KELDK14","2013_09",62.82353,0,1.294118,0,2.470588,34.11765,4,0,20.94118,0,0,0,0,0,0,0
"KELDK14","2013_10",46.58823,0,0,0,1.176471,23.52941,0,0,17.17647,0,0,0,0,4.705883,0,0
"KELDK15","2012_10",48.35294,0,1.058824,0,2.941176,0,7.529412,0,26.23529,0,0,0,10.58823,0,0,0
"KELDK15","2012_11",36,0,1.058824,0,5.882353,4.352941,12.94118,0,4,0,0,0,0,.7058824,7.058824,0
"KELDK15","2012_12",311.8824,0,3.294118,54.11765,4.117647,0,17.64706,0,126.8235,0,0,105.8824,0,0,0,0
"KELDK15","2013_01",278.2353,0,4.352942,0,7.058824,24.11765,4.823529,0,59.05882,0,176.4706,.5882353,0,0,1.764706,0
"KELDK15","2013_02",125.4118,0,6.823529,0,16.47059,0,3.294118,0,55.05882,0,35.29412,0,0,1.411765,7.058824,0
"KELDK15","2013_03",542.5294,0,8.529411,29.41176,18.23529,230.5882,3.647059,0,54.11765,0,186.4706,0,0,2.705882,8.82353,0
