hh_ids,m_ids,int_date,wellbeing_q1,wellbeing_q2,wellbeing_q3,wellbeing_q4
"KNBOK41","5.01000e+16",26nov2012,"Very happy","Very badly","Very well","Very confident"
"KNBOK41","5.01000e+16",10dec2012,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",21jan2013,"Very happy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",05feb2013,"Neither happy nor unhappy","Neither well nor badly","Very well","Very confident"
"KNBOK41","5.01000e+16",19feb2013,"Very happy","Moderately well","Moderately well","Very confident"
"KNBOK41","5.01000e+16",01mar2013,"Very happy","Very well","Very well","Very confident"
"KNBOK41","5.01000e+16",18mar2013,"Moderately happy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",02apr2013,"Very happy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",15apr2013,"Very happy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",29apr2013,"Moderately happy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",31may2013,"Very happy","Very well","Very well","Very confident"
"KNBOK41","5.01000e+16",10jun2013,"Very happy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",24jun2013,"Moderately happy","Very well","Very well","Very confident"
"KNBOK41","5.01000e+16",07jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",22jul2013,"Very happy","Moderately well","Moderately well","Very confident"
"KNBOK41","5.01000e+16",19aug2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KNBOK41","5.01000e+16",05aug2013,"Very happy","Moderately well","Moderately well","Very confident"
"KNBOK41","5.01000e+16",02sep2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KNBOK41","5.01000e+16",16sep2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KNBOK41","5.01000e+16",30sep2013,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KNBOK41","5.01000e+16",14oct2013,"Moderately happy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",05nov2013,"Moderately happy","Moderately well","Very well","Very confident"
"KNBOK41","5.01000e+16",13may2013,"Very happy","Moderately well","Moderately well","Very confident"
"KNBOK41","5.01000e+16",04jan2013,"Very happy","Moderately well","Very well","Very confident"
"KNBOK40","5.01000e+16",19mar2013,"Very happy","Moderately well","Very well","Very confident"
"KNBOK18","5.01000e+16",28nov2012,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KNBOK42","5.01000e+16",06dec2012,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KNBOK42","5.01000e+16",03jan2013,"Moderately happy","Moderately well","Very well","Very confident"
"KNBOK42","5.01000e+16",17jan2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KNBOK42","5.01000e+16",31jan2013,"Very happy","Moderately well","Very well","Very confident"
"KNBOK42","5.01000e+16",14feb2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KNBOK42","5.01000e+16",07mar2013,"Moderately happy","Moderately well","Very well","Very confident"
"KNBOK42","5.01000e+16",14mar2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KNBOK42","5.01000e+16",28mar2013,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KNBOK42","5.01000e+16",11apr2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KNBOK42","5.01000e+16",25apr2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KNBOK42","5.01000e+16",09may2013,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KNBOK42","5.01000e+16",23may2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KNBOK42","5.01000e+16",06jun2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KNBOK42","5.01000e+16",20jun2013,"Moderately happy","Moderately badly","Moderately well","Very confident"
"KNBOK42","5.01000e+16",20jul2013,"Neither happy nor unhappy","Moderately badly","Very well","Very confident"
"KNBOK42","5.01000e+16",01aug2013,"Very happy","Very badly","Very well","Very confident"
"KNBOK42","5.01000e+16",15aug2013,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KNBOK42","5.01000e+16",29aug2013,"Very happy","Moderately well","Very well","Very confident"
"KNBOK42","5.01000e+16",12sep2013,"Neither happy nor unhappy","Neither well nor badly","Very well","Moderately confident"
"KNBOK42","5.01000e+16",28sep2013,"Moderately unhappy","Very badly","Moderately well","Very confident"
"KNBOK42","5.01000e+16",10oct2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KNBOK42","5.01000e+16",24oct2013,"Moderately happy","Moderately badly","Moderately well","Very confident"
"KNBOK42","5.01000e+16",17jan2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KNBOK42","5.01000e+16",28mar2013,"Very happy","Moderately badly","Very well","Very confident"
"KNBOK42","5.01000e+16",23may2013,"Moderately unhappy","Neither well nor badly","Neither well nor badly","Very confident"
"KNBOK42","5.01000e+16",06jun2013,"Moderately happy","Neither well nor badly","Neither well nor badly","Very confident"
"KNBOK42","5.01000e+16",04jul2013,"Very happy","Neither well nor badly","Moderately well","Very confident"
"KNBOK42","5.01000e+16",20jul2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KNBOK42","5.01000e+16",01aug2013,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KNBOK42","5.01000e+16",15aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KNBOK42","5.01000e+16",29aug2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KNBOK42","5.01000e+16",28sep2013,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KELDS05","5.01000e+16",17may2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDS05","5.01000e+16",31may2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDS05","5.01000e+16",14jun2013,"Moderately happy","Neither well nor badly","Very well","Moderately confident"
"KELDS05","5.01000e+16",28jun2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDS05","5.01000e+16",12jul2013,"Moderately happy","Moderately badly","Moderately well","Moderately confident"
"KELDS05","5.01000e+16",25jul2013,"Moderately happy","Moderately badly","Moderately well","Moderately confident"
"KELDS03","5.01000e+16",18may2013,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KNBOK35","5.01000e+16",28jul2013,"Moderately happy","Very badly","Very well","Very confident"
"KNBOK35","5.01000e+16",18aug2013,"Moderately happy","Very badly","Moderately well","Moderately confident"
