hh_ids,m_ids_owner,trx_yr_mo,inc_i_byti,inc_i_byti_AGRI,inc_i_byti_CITMPC,inc_i_byti_NEINCG,inc_i_byti_REI,inc_i_byti_RIOI,inc_i_byti_RR,inc_i_byti_SEI
"KELDK01","56134390476100000","2012_11",62.70588,0,0,0,62.70588,0,0,0
"KELDK01","56134390476100000","2012_12",17.64706,0,17.64706,0,0,0,0,0
"KELDK01","56134390476100000","2013_01",91.76471,0,35.29412,0,56.47059,0,0,0
"KELDK01","56134390476100000","2013_02",91.7647,0,21.17647,0,70.58823,0,0,0
"KELDK01","56134390476100000","2013_03",116.4706,0,0,0,116.4706,0,0,0
"KELDK01","56134390476100000","2013_04",124.4118,0,53.82353,0,70.58823,0,0,0
"KELDK01","56134390476100000","2013_05",137.2353,0,61.82353,0,75.41177,0,0,0
"KELDK01","56134390476100000","2013_06",131.5294,0,58.58824,0,72.94118,0,0,0
"KELDK01","56134390476100000","2013_07",121.5294,0,50.58823,0,70.94118,0,0,0
"KELDK01","56134390476100000","2013_08",123.3294,0,50.38824,0,72.94118,0,0,0
"KELDK01","56134390476100000","2013_09",115.8824,0,42.94118,0,72.94118,0,0,0
"KELDK02","56134389503000000","2012_10",608.8235,0,0,0,0,0,0,608.8235
"KELDK02","56134389503000000","2012_11",38.82354,0,0,0,0,0,0,38.82354
"KELDK02","56134389503000000","2012_12",437.3765,0,0,0,0,0,0,437.3765
"KELDK02","56134389503000000","2013_01",-513.2941,0,0,0,0,0,0,-513.2941
"KELDK02","56134389503000000","2013_02",-981.4706,0,0,0,0,0,0,-981.4706
"KELDK02","56134389503000000","2013_03",417.9999,0,0,0,0,0,0,417.9999
"KELDK02","56134389503000000","2013_04",-1529.412,0,0,0,0,0,0,-1529.412
"KELDK02","56134389503000000","2013_05",1866.882,0,0,0,0,0,0,1866.882
"KELDK02","56134389503000000","2013_06",1113.765,0,0,0,0,0,0,1113.765
"KELDK02","56134389503000000","2013_07",2001.177,0,0,0,0,0,0,2001.177
"KELDK02","56134389503000000","2013_08",416.6471,0,0,0,0,0,0,416.6471
"KELDK02","56134389503000000","2013_09",399.8824,0,0,0,0,0,0,399.8824
"KELDK08","56134410699600000","2012_10",22.35294,0,22.35294,0,0,0,0,0
"KELDK08","56134410699600000","2012_11",17.64706,0,0,0,17.64706,0,0,0
"KELDK08","56134410699600000","2013_01",10.58823,0,10.58823,0,0,0,0,0
"KELDK08","56134410699600000","2013_02",37.64706,0,2.352941,0,35.29412,0,0,0
"KELDK08","56134410699600000","2013_03",37.64706,0,4.705883,0,32.94118,0,0,0
"KELDK08","56134410699600000","2013_04",40,0,2.352941,0,37.64706,0,0,0
"KELDK08","56134410699600000","2013_05",51.88235,0,14.23529,0,37.64706,0,0,0
"KELDK08","56134410699600000","2013_06",50,0,14.70588,0,35.29412,0,0,0
