hh_ids,trx_yr_mo,inc_hh_byti,con_pur_hh_byti,con_prod_hh_byti,dem_urban,dem_hh_size,dem_pae_oecd,dem_pae_kihbs,con_hh_byti,inc_hh_byti_pae_oecd,con_hh_byti_pae_oecd,inc_hh_byti_pae_kihbs,con_hh_byti_pae_kihbs,inc_below_1_usd_oecd,con_below_1_usd_oecd,inc_below_1_usd_kihbs,con_below_1_usd_kihbs,inc_below_2_usd_oecd,con_below_2_usd_oecd,inc_below_2_usd_kihbs,con_below_2_usd_kihbs,inc_below_5_usd_oecd,con_below_5_usd_oecd,inc_below_5_usd_kihbs,con_below_5_usd_kihbs
"KELDK01","2012_11",62.70588,40.52941,0,0,4,2.7,2.89,40.52941,.7614558,.4921604,.7113947,.4598038,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK01","2012_12",17.64706,42.4353,0,0,4,2.7,2.89,42.4353,.2142934,.5153041,.2002049,.481426,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK01","2013_01",91.76471,48.23529,0,0,4,2.7,2.89,48.23529,1.114326,.5857352,1.041065,.5472267,0,1,0,1,1,1,1,1,1,1,1,1
"KELDK01","2013_02",91.7647,107.5294,0,0,4,2.7,2.89,107.5294,1.114325,1.305761,1.041065,1.219915,0,0,0,0,1,1,1,1,1,1,1,1
"KELDK01","2013_03",116.4706,114.4706,0,0,4,2.7,2.89,114.4706,1.414336,1.39005,1.321352,1.298662,0,0,0,0,1,1,1,1,1,1,1,1
"KELDK01","2013_04",124.4118,118.2941,0,0,4,2.7,2.89,118.2941,1.510768,1.43648,1.411444,1.34204,0,0,0,0,1,1,1,1,1,1,1,1
"KELDK01","2013_05",137.2353,105,0,0,4,2.7,2.89,105,1.666488,1.275046,1.556926,1.191219,0,0,0,0,1,1,1,1,1,1,1,1
"KELDK01","2013_06",131.5294,109.5412,0,0,4,2.7,2.89,109.5412,1.5972,1.33019,1.492194,1.242738,0,0,0,0,1,1,1,1,1,1,1,1
"KELDK01","2013_07",121.5294,113.4706,0,0,4,2.7,2.89,113.4706,1.475767,1.377906,1.378744,1.287317,0,0,0,0,1,1,1,1,1,1,1,1
"KELDK01","2013_08",123.3294,86.50588,0,0,4,2.7,2.89,86.50588,1.497625,1.050466,1.399165,.9814042,0,0,0,1,1,1,1,1,1,1,1,1
"KELDK01","2013_09",115.8824,102.1765,0,0,4,2.7,2.89,102.1765,1.407193,1.240759,1.314679,1.159186,0,0,0,0,1,1,1,1,1,1,1,1
"KELDK02","2012_10",608.8235,218.7059,0,0,3,2.4,3,218.7059,8.317262,2.987785,6.653809,2.390228,0,0,0,0,0,0,0,0,0,1,0,1
"KELDK02","2012_11",38.82354,189.2941,0,0,3,2.4,3,189.2941,.5303762,2.585985,.424301,2.068788,1,0,1,0,1,0,1,0,1,1,1,1
"KELDK02","2012_12",437.3765,140.5882,0,0,3,2.4,3,140.5882,5.975088,1.920604,4.780071,1.536484,0,0,0,0,0,1,0,1,0,1,1,1
"KELDK02","2013_01",-513.2941,368.2353,0,0,3,2.4,3,368.2353,-7.012215,5.030537,-5.609772,4.024429,1,0,1,0,1,0,1,0,1,0,1,1
"KELDK02","2013_02",-981.4706,68.41177,0,0,3,2.4,3,68.41177,-13.40807,.9345869,-10.72645,.7476696,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK02","2013_03",417.9999,75.7647,0,0,3,2.4,3,75.7647,5.710382,1.035037,4.568305,.8280295,0,0,0,1,0,1,0,1,0,1,1,1
"KELDK02","2013_04",-1529.412,70.11765,0,0,3,2.4,3,70.11765,-20.8936,.9578913,-16.71488,.7663131,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK02","2013_05",1866.882,236.3529,0,0,3,2.4,3,236.3529,25.50386,3.228865,20.40309,2.583092,0,0,0,0,0,0,0,0,0,1,0,1
