hh_ids,dem_urban,dem_hh_size,dem_hh_meanage,dem_hh_ages0_4,dem_hh_ages5_14,dem_hh_ages15_17,dem_hh_ages0_17,dem_hh_ages15plus,dem_hh_ages18plus,dem_hh_ages65plus,dem_hh_ages20_30,dem_hh_workage,dem_hh_dependents,dem_hh_agehead,dem_hh_malehead,dem_pae_oecd,dem_pae_kihbs
"KELDK01",0,4,16,1,1,0,2,2,2,0,2,.5,.5,30,1,2.7,2.89
"KELDK02",0,3,30.66667,0,0,1,1,3,2,0,0,1,0,42,1,2.4,3
"KELDK08",0,3,16.66667,1,0,0,1,2,2,0,2,.6666667,.3333333,26,1,2.2,2.24
"KELDK09",0,2,18,0,1,0,1,1,1,0,1,.5,.5,27,0,1.5,1.65
"KELDK10",0,1,26,0,0,0,0,1,1,0,1,1,0,26,0,1,1
"KELDK12",0,4,13.75,1,1,0,2,2,2,0,2,.5,.5,25,1,2.7,2.89
"KELDK13",0,4,15,1,2,0,3,1,1,0,0,.25,.75,33,0,2.5,2.54
"KELDK14",0,4,17.25,1,0,0,1,3,3,0,2,.75,.25,26,1,2.9,3.24
"KELDK15",0,5,15.8,1,1,0,2,3,3,0,2,.6,.4,30,1,3.4,3.89
"KELDK16",0,5,14.8,2,1,0,3,2,2,0,1,.4,.6,33,1,3.2,3.13
"KELDK17",0,9,15.55556,0,5,1,6,4,3,0,0,.4444444,.5555556,38,0,5.6,7.25
"KELDK18",0,6,32.16667,0,0,1,1,6,5,0,3,1,0,54,1,4.5,6
"KELDK19",0,7,16.28572,1,3,1,5,3,2,0,0,.4285714,.5714286,41,1,4.4,5.19
"KELDK20",0,6,19.66667,0,3,1,4,3,2,0,0,.5,.5,46,1,3.9,4.95
"KELDK21",0,4,54.25,0,0,0,0,4,4,1,1,.75,.25,56,1,3.1,4
"KELDK22",0,4,13.75,1,2,0,3,1,1,0,0,.25,.75,37,0,2.5,2.54
"KELDK23",0,1,37,0,0,0,0,1,1,0,0,1,0,37,1,1,1
"KELDK24",0,7,18.57143,0,4,1,5,3,2,0,0,.4285714,.5714286,34,0,4.4,5.6
"KELDK25",0,1,38,0,0,0,0,1,1,0,0,1,0,38,1,1,1
"KELDK27",0,3,42.66667,0,1,0,1,2,2,1,0,.3333333,.6666667,66,1,2.2,2.65
"KELDK28",0,5,22,0,3,0,3,2,2,0,0,.4,.6,40,1,3.2,3.95
"KELDK29",0,3,22,1,0,0,1,2,2,0,1,.6666667,.3333333,32,1,2.2,2.24
"KELDK30",0,7,12.85714,2,3,0,5,2,2,0,1,.2857143,.7142857,35,1,4.2,4.43
"KELDK31",0,5,14.6,1,2,0,3,2,2,0,1,.4,.6,32,1,3.2,3.54
