hh_ids,m_ids,dem_i_male,dem_i_age_yrs,dem_i_age_5yrgrp,dem_i_age_workage,dem_i_relhead,dem_i_hhead,dem_i_marstat,dem_i_tribe,dem_i_children_tot,dem_i_children_inhh
"KELDK01","56134392820800000","Female",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK01","56134390476100000","Male",30,"[30 - 35)",1,"Household head",1,"Married/living together","Kalenjin",2,0
"KELDK01","56134392826900000","Male",2,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK01","56134390654900000","Female",24,"[20 - 25)",1,"Husband or wife",0,"Married/living together","Kalenjin",2,0
"KELDK02","56134389772300000","Female",35,"[35 - 40)",1,"Husband or wife",0,"Married/living together","Luhya",1,1
"KELDK02","56134389503000000","Male",42,"[40 - 45)",1,"Household head",1,"Married/living together","Luhya",1,9
"KELDK02","56134392211100000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDK08","56134410709700000","Female",20,"[20 - 25)",1,"Husband or wife",0,"Married/living together","Kalenjin",1,0
"KELDK08","56134410715700000","Male",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDK08","56134410699600000","Male",26,"[25 - 30)",1,"Household head",1,"Married/living together","Luhya",1,0
"KELDK09","56134329944600000","Female",27,"[25 - 30)",1,"Household head",1,"Never married/lived together","Kalenjin",1,0
"KELDK09","56134330079300000","Female",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK10","56134337157200000","Female",26,"[25 - 30)",1,"Household head",1,"Never married/lived together","Kalenjin",,
"KELDK12","65134436388200000","Female",23,"[20 - 25)",1,"Husband or wife",0,"Married/living together","Kalenjin",2,0
"KELDK12","65134436576000000","Male",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK12","65134436657100000","Female",2,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK12","65134436228800000","Male",25,"[25 - 30)",1,"Household head",1,"Married/living together","Kalenjin",,
"KELDK13","56134337464100000","Female",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK13","56134337440100000","Female",33,"[30 - 35)",1,"Household head",1,"Separated/divorced","Kalenjin",3,3
"KELDK13","56134337480200000","Male",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK13","56134337455200000","Male",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK14","105136582880100000","Male",2,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
