hh_ids,int_date,goingson_q1,goingson_q2,goingson_q3,goingson_q4,goingson_q5,goingson_q6,goingson_q7,goingson_q8,goingson_q9,goingson_q10
"KELDL09",08oct2012,"No","No","No","No","No","No","No","No","No",
"KELDL10",02oct2012,"No","Yes","No","No","No","Yes","Yes","No","Yes",
"KMAKL02",12oct2012,"No","No","No","No","No","No","No","No","No",
"KELDK12",02jul2013,"No","No","No","No","No","No","No","No","No","No"
"KELDK31",02jul2013,"No","No","No","No","No","No","No","No","No","Yes"
"KNBOK23",14aug2013,"No","No","No","No","No","No","No","No","No","No"
"KNBOK18",14nov2012,"No","No","No","No","No","No","No","No","No",
"KNBOK25",12nov2012,"No","No","No","No","No","No","No","No","No",
"KNBOK15",13nov2012,"No","Yes","No","No","No","No","No","No","No",
"KNBOK01",14nov2012,"No","No","Yes","No","No","Yes","Yes","No","No",
"KNBOK04",14nov2012,"Yes","No","No","Yes","No","No","No","No","No",
"KNBOK05",15nov2012,"No","No","No","No","No","No","No","No","No",
"KNBOK17",16nov2012,"No","No","Yes","No","No","No","Yes","No","No",
"KNBOK08",19nov2012,"No","No","No","Yes","No","No","Yes","Yes","No",
"KNBOK40",19nov2012,"No","No","No","No","No","No","No","No","No",
"KNBOK34",21nov2012,"No","No","No","No","No","No","Yes","No","No",
"KNBOK01",28nov2012,"No","No","Yes","No","No","No","Yes","No","No",
"KNBOK06",22nov2012,"No","No","Yes","No","No","No","Yes","No","No",
"KNBOK29",23nov2012,"No","No","No","Yes","No","Yes","Yes","No","Yes",
"KNBOK04",28nov2012,"No","No","Yes","No","No","No","No","No","No",
"KNBOK05",30nov2012,"No","No","No","No","No","No","No","No","No",
"KNBOK06",07dec2012,"No","No","No","No","No","No","No","No","No",
"KNBOK08",04dec2012,"No","No","No","No","No","No","No","Yes","No",
"KNBOK15",27nov2012,"No","No","No","No","No","No","No","No","No",
"KNBOK16",03dec2012,"No","Yes","No","Yes","No","No","No","Yes","No",
"KNBOK17",30nov2012,"No","No","No","No","No","No","No","No","No",
"KNBOK25",26nov2012,"No","No","No","No","No","Yes","Yes","No","No",
"KNBOK41",26nov2012,"Yes","No","No","No","No","No","No","No","No",
"KNBOK03",05dec2012,"No","No","No","No","No","No","No","No","No",
"KNBOK15",11dec2012,"No","No","Yes","No","No","No","No","No","No",
"KNBOK20",11dec2012,"No","No","No","No","No","No","No","No","No",
"KNBOK18",28nov2012,"No","No","Yes","No","No","No","No","No","No",
"KNBOK39",30nov2012,"No","No","No","No","No","No","No","No","No",
"KNBOK16",19nov2012,"No","No","No","No","No","No","No","No","No",
