hh_ids,hh_int_situation,hh_circ_move_why,hh_circ_move_when,hh_circ_problems,hh_inf_wall_material,hh_inf_roof_material,hh_inf_floor_material,hh_inf_cookfuel_source,hh_inf_lighting_source,hh_inf_water_source,hh_inf_rooms_habitable,hh_inf_rooms_other,hh_inf_toilet_type,hh_inf_toilet_shared,hh_inf_housing_type,hh_inf_electricity_access,hh_inf_interiorcond,hh_inf_exteriorcond,hh_asset_internet_access,hh_asset_iron_any,hh_asset_mosqnets_N,hh_asset_towels_N,hh_asset_fryingpan_N,hh_env_settingdesc,hh_env_desc,hh_env_dilapbuildings,hh_env_streets,hh_env_trash,hh_ownership_type,hh_ownership_plotacquisition,hh_ownership_houseacquisition,hh_ownership_docu,hh_otherprop_any,hh_otherprop_N,hh_otherprop1_docu,hh_otherprop1_use,hh_otherprop1_value,hh_otherprop2_use,hh_otherprop2_value,hh_otherprop2_docu,hh_otherprop3_docu,hh_otherprop3_use,hh_otherprop3_value,hh_othershamba_N,hh_othershamba1_docu,hh_othershamba1_use,hh_othershamba1_value,hh_othershamba2_docu,hh_othershamba2_use,hh_othershamba2_value,hh_othershamba3_docu,hh_othershamba3_use,hh_othershamba3_value
"KNBOK31","","",,"",,,,,,,,,,,,,,,,,,,,,"","98=None","","",,,,,,,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK01","01=Initial questionnaire","05=To be closer to family",7/1/1997,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Paraffin","Piped into dwelling",3,3,"Main sewer","Shared","Maisonette/townhouse","No access","No major problems","No major problems","Does not access internet","No",2,0,2,"Urban","03=Single family attached houses","01=A few of them","02=Crowded streets and paths","01=Minor accumulation",1,,,"Yes, a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK02","01=Initial questionnaire","12=Wanted better neighborhood",2/1/2011,"01=Leaky roof or ceilling","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Electricity","Piped into dwelling",1,1,"Main sewer","Shared","Flat","Yes, own electricity","No major problems","No major problems","Does not access internet","No",1,2,1,"Urban","03=Single family attached houses","02=Most of them","02=Crowded streets and paths","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK04","01=Initial questionnaire","17=Private displacement (owner moved into unit, unit sold)",2/19/2006,"03=Broken or missing windows,07=Extremely hot or cold","Stone","Concrete","Cement/Concrete/Slab","Gas/LPG","Electricity","Piped somewhere else (outside, neighbor)",2,1,"Main sewer","Shared","Flat",,"No major problems","No major problems","Does not access internet","No",2,2,0,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","01=Open sewage","01=Minor accumulation",4,,,,"Yes",1,"03=Yes, a title deed","04=Agricultural property",1500000,"",,"","","",,,"","",,"","",,"","",
"KNBOK05","01=Initial questionnaire","13=Change from renter to owner",1/1/1993,"07=Extremely hot or cold,08=Mold","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Collected firewood","Electricity","Piped into dwelling",5,3,"Pit latrine, uncovered","Private","House/bungalow",,"No major problems","No major problems","Does not access internet","Yes",3,4,1,"Urban","03=Single family attached houses","01=A few of them","03=Garbage","01=Minor accumulation",1,"Bought plot using assets/savings kept elsewhere","Built using assets/savings kept elsewhere","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK06","01=Initial questionnaire","07=New job or job transfer,11=To be closer to work or school",1/28/2009,"09=None","Stone","Concrete","Cement/Concrete/Slab","Gas/LPG","Electricity","Piped somewhere else (outside, neighbor)",1,1,"Main sewer","Shared","Flat",,"Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Own mobile phone","Yes",1,3,2,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","03=Garbage","02=Major accumulation",4,,,,"Yes",1,"01=No written agreement","05=Currently unused",500000,"",,"","","",,,"","",,"","",,"","",
"KNBOK08","02=Move during diaries","11=To be closer to work or school,14=Wanted lower rent or mortgage",8/15/2012,"04=Pests: mice, rats, roaches, bedbugs, other insects","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Electricity","Water vendor",1,0,"Main sewer","Shared","House/bungalow","Yes, from neighbor or unofficial soure","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Own mobile phone","Yes",0,3,1,"Urban","04=Mult- unit residential buildings (flats)","02=Most of them","02=Crowded streets and paths","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK11","01=Initial questionnaire","13=Change from renter to owner",7/1/2012,"04=Pests: mice, rats, roaches, bedbugs, other insects","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Electricity","Piped into dwelling",2,2,"Cess pool","Shared","Other temporary or semi-permanent structure","Yes, from neighbor or unofficial soure",,,"Own house connection through cable, dialup, mobile modem","No",2,3,1,"Urban","","","","",1,"Gift from community, family, friends","Built using assets/savings kept elsewhere","No written agreement","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK14","01=Initial questionnaire","15=Needed larger house or apartment",7/1/2011,"04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Stone","Concrete","Cement/Concrete/Slab","Gas/LPG","Electricity","Piped somewhere else (outside, neighbor)",2,0,"Main sewer","Shared","Flat","Yes, own electricity","No major problems","No major problems","Office/workplace","Yes",1,3,1,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","03=Garbage","02=Major accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK15","01=Initial questionnaire","17=Private displacement (owner moved into unit, unit sold)",3/6/2009,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold,08=Mold","Corrugated Iron Sheet","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Electricity","Piped somewhere else (outside, neighbor)",1,0,"Pit latrine, covered","Shared","Shack","Yes, from neighbor or unofficial soure","Some peeling paint, cracks in walls, rusted iron sheets","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",0,0,1,"Urban","03=Single family attached houses","02=Most of them","02=Crowded streets and paths","02=Major accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
