hh_ids,trx_yr_mo,inc_hh_byti,inc_hh_byti_AGRI,inc_hh_byti_CITMPC,inc_hh_byti_NEINCG,inc_hh_byti_REI,inc_hh_byti_RIOI,inc_hh_byti_RR,inc_hh_byti_SEI
"KELDK01","2012_11",62.70588,0,0,0,62.70588,0,0,0
"KELDK01","2012_12",17.64706,0,17.64706,0,0,0,0,0
"KELDK01","2013_01",91.76471,0,35.29412,0,56.47059,0,0,0
"KELDK01","2013_02",91.7647,0,21.17647,0,70.58823,0,0,0
"KELDK01","2013_03",116.4706,0,0,0,116.4706,0,0,0
"KELDK01","2013_04",124.4118,0,53.82353,0,70.58823,0,0,0
"KELDK01","2013_05",137.2353,0,61.82353,0,75.41177,0,0,0
"KELDK01","2013_06",131.5294,0,58.58824,0,72.94118,0,0,0
"KELDK01","2013_07",121.5294,0,50.58823,0,70.94118,0,0,0
"KELDK01","2013_08",123.3294,0,50.38824,0,72.94118,0,0,0
"KELDK01","2013_09",115.8824,0,42.94118,0,72.94118,0,0,0
"KELDK02","2012_10",608.8235,0,0,0,0,0,0,608.8235
"KELDK02","2012_11",38.82354,0,0,0,0,0,0,38.82354
"KELDK02","2012_12",437.3765,0,0,0,0,0,0,437.3765
"KELDK02","2013_01",-513.2941,0,0,0,0,0,0,-513.2941
"KELDK02","2013_02",-981.4706,0,0,0,0,0,0,-981.4706
"KELDK02","2013_03",417.9999,0,0,0,0,0,0,417.9999
"KELDK02","2013_04",-1529.412,0,0,0,0,0,0,-1529.412
"KELDK02","2013_05",1866.882,0,0,0,0,0,0,1866.882
"KELDK02","2013_06",1113.765,0,0,0,0,0,0,1113.765
"KELDK02","2013_07",2001.177,0,0,0,0,0,0,2001.177
"KELDK02","2013_08",416.6471,0,0,0,0,0,0,416.6471
"KELDK02","2013_09",399.8824,0,0,0,0,0,0,399.8824
"KELDK08","2012_10",57.64706,0,22.35294,0,35.29412,0,0,0
"KELDK08","2012_11",41.17647,0,0,0,41.17647,0,0,0
"KELDK08","2012_12",36.47059,0,0,0,36.47059,0,0,0
"KELDK08","2013_01",43.24706,0,15.01176,0,28.23529,0,0,0
"KELDK08","2013_02",41.41177,0,6.117647,0,35.29412,0,0,0
"KELDK08","2013_03",41.82353,0,8.882353,0,32.94118,0,0,0
"KELDK08","2013_04",43.88235,0,2.352941,0,37.64706,0,3.882353,0
"KELDK08","2013_05",66.11765,0,28.47059,0,37.64706,0,0,0
"KELDK08","2013_06",55.17647,0,19.88235,0,35.29412,0,0,0
"KELDK08","2013_07",43.52941,0,2.352941,0,41.17647,0,0,0
"KELDK08","2013_08",34.70588,0,1.764706,0,32.94118,0,0,0
"KELDK08","2013_09",35.29412,0,0,0,35.29412,0,0,0
"KELDK08","2013_10",35.29412,0,0,0,35.29412,0,0,0
"KELDK09","2012_11",32.94118,0,0,0,0,0,0,32.94118
"KELDK09","2012_12",241.7647,0,0,0,0,0,0,241.7647
"KELDK09","2013_01",5.294114,0,0,0,0,0,0,5.294114
"KELDK09","2013_02",274.8235,0,0,0,0,0,0,274.8235
"KELDK09","2013_03",166.4706,0,0,0,0,0,67.64706,98.82353
"KELDK09","2013_04",105.8824,0,0,0,0,0,0,105.8824
"KELDK09","2013_05",27.05883,0,0,0,0,0,0,27.05883
"KELDK09","2013_06",445.1765,0,0,0,0,0,11.05882,434.1176
"KELDK09","2013_07",117.8824,0,0,0,0,0,.2352941,117.6471
"KELDK09","2013_08",4.235295,0,0,0,0,0,6.588235,-2.352941
"KELDK09","2013_09",22.82353,0,0,0,0,0,.4705882,22.35294
"KELDK10","2012_11",199.4118,0,0,0,0,0,0,199.4118
"KELDK10","2012_12",23.76471,0,0,0,0,0,0,23.76471
"KELDK10","2013_01",104,0,0,0,0,17.64706,0,86.35294
"KELDK10","2013_02",215.4118,0,0,0,0,11.76471,13.05882,190.5882
