hh_ids,trx_yr_mo,rem_hh_count_byti,rem_hh_abs_byti,rem_hh_net_byti,rem_hh_count_byti_RG,rem_hh_abs_byti_RG,rem_hh_count_byti_RR,rem_hh_abs_byti_RR,rem_hh_count_byti_cash,rem_hh_abs_byti_cash,rem_hh_net_byti_cash,rem_hh_count_byti_inkind,rem_hh_abs_byti_inkind,rem_hh_net_byti_inkind,rem_hh_count_byti_mm,rem_hh_abs_byti_mm,rem_hh_net_byti_mm,rem_hh_count_byti_other,rem_hh_abs_byti_other,rem_hh_net_byti_other
"KELDK02","2012_10",1,35.29412,-35.29412,1,35.29412,0,0,0,0,0,0,0,0,1,35.29412,-35.29412,0,0,0
"KELDK02","2012_11",2,35.29412,-35.29412,2,35.29412,0,0,1,11.76471,-11.76471,0,0,0,1,23.52941,-23.52941,0,0,0
"KELDK02","2012_12",1,38.47059,-38.47059,1,38.47059,0,0,1,38.47059,-38.47059,0,0,0,0,0,0,0,0,0
"KELDK02","2013_01",2,135.2941,-135.2941,2,135.2941,0,0,1,76.47059,-76.47059,0,0,0,1,58.82353,-58.82353,0,0,0
"KELDK02","2013_02",1,35.29412,-35.29412,1,35.29412,0,0,1,35.29412,-35.29412,0,0,0,0,0,0,0,0,0
"KELDK02","2013_03",2,131.7647,-131.7647,2,131.7647,0,0,2,131.7647,-131.7647,0,0,0,0,0,0,0,0,0
"KELDK02","2013_04",2,81.17647,-81.17647,2,81.17647,0,0,2,81.17647,-81.17647,0,0,0,0,0,0,0,0,0
"KELDK02","2013_05",2,83.12941,-83.12941,2,83.12941,0,0,1,35.29412,-35.29412,0,0,0,1,47.83529,-47.83529,0,0,0
"KELDK02","2013_06",2,157.2471,-157.2471,2,157.2471,0,0,1,97.64706,-97.64706,0,0,0,1,59.6,-59.6,0,0,0
"KELDK02","2013_07",1,95.41177,-95.41177,1,95.41177,0,0,0,0,0,0,0,0,1,95.41177,-95.41177,0,0,0
"KELDK02","2013_08",2,130.7059,-130.7059,2,130.7059,0,0,1,35.29412,-35.29412,0,0,0,1,95.41177,-95.41177,0,0,0
"KELDK02","2013_09",1,70.58823,-70.58823,1,70.58823,0,0,1,70.58823,-70.58823,0,0,0,0,0,0,0,0,0
"KELDK08","2013_04",1,3.882353,3.882353,0,0,1,3.882353,0,0,0,0,0,0,1,3.882353,3.882353,0,0,0
"KELDK08","2013_07",1,6.2,-6.2,1,6.2,0,0,0,0,0,0,0,0,1,6.2,-6.2,0,0,0
"KELDK09","2013_02",1,70.58823,-70.58823,1,70.58823,0,0,1,70.58823,-70.58823,0,0,0,0,0,0,0,0,0
"KELDK09","2013_03",6,173.5294,-38.23529,2,105.8824,4,67.64706,4,131.7647,-9.411764,1,35.29412,-35.29412,1,6.470588,6.470588,0,0,0
"KELDK09","2013_06",2,11.05882,11.05882,0,0,2,11.05882,0,0,0,2,11.05882,11.05882,0,0,0,0,0,0
"KELDK09","2013_07",2,.2352941,.2352941,0,0,2,.2352941,0,0,0,2,.2352941,.2352941,0,0,0,0,0,0
"KELDK09","2013_08",21,6.588235,6.588235,0,0,21,6.588235,0,0,0,21,6.588235,6.588235,0,0,0,0,0,0
"KELDK09","2013_09",2,.4705882,.4705882,0,0,2,.4705882,0,0,0,2,.4705882,.4705882,0,0,0,0,0,0
"KELDK10","2012_12",1,49.41177,-49.41177,1,49.41177,0,0,1,49.41177,-49.41177,0,0,0,0,0,0,0,0,0
"KELDK10","2013_01",1,32.94118,-32.94118,1,32.94118,0,0,1,32.94118,-32.94118,0,0,0,0,0,0,0,0,0
"KELDK10","2013_02",28,13.05882,13.05882,0,0,28,13.05882,0,0,0,28,13.05882,13.05882,0,0,0,0,0,0
"KELDK10","2013_03",34,112.2353,34.58823,2,38.82353,32,73.41177,1,17.64706,-17.64706,32,35.76471,-6.588234,1,58.82353,58.82353,0,0,0
